x,y,z
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
-13.6113,11.2881,0
-6.81543,-19.4541,0
-13.7563,-19.3263,0
11.6189,-13.269,0
11.584,-7.12677,0
-13.6356,-0.938778,0
11.5816,-19.4034,0
-13.6985,-13.1804,0
-13.6878,-7.08792,0
11.6305,5.08813,0
11.6761,-1.04041,0
11.7062,11.264,0
11.7233,17.379,0
0,0,0
-13.6706,17.4742,0
-0.963308,17.3965,0
-13.6427,5.16768,0
